ID,quote,Author
26,"“Happiness is not the absence of problems, it's the ability to deal with them.”","
    Steve Maraboli,
  "
27,“Believe in your infinite potential. Your only limitations are those you set upon yourself.”,"
    Roy T. Bennett,
  "
28,“The man who moves a mountain begins by carrying away small stones.”,"
    Confucius,
  "
29,“The only way of discovering the limits of the possible is to venture a little way past them into the impossible.”,"
    Arthur C. Clarke
  "
30,“Surround Yourself with People Who Believe in Your Dreams:,"
    Roy T. Bennett,
  "
31,"“Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.”","
    Steve Maraboli,
  "
32,"“Do what you love, love what you do, and with all your heart give yourself to it.”","
    Roy T. Bennett,
  "
33,“Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.”,"
    Ralph Waldo Emerson
  "
34,"“Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.”","
    Roy T. Bennett,
  "
35,"“If you believe very strongly in something, stand up and fight for it.”","
    Roy T. Bennett,
  "
36,“Change the way you look at things and the things you look at change.”,"
    Wayne W. Dyer
  "
37,“It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.”,"
    Roy T. Bennett,
  "
38,"“Learn the rules like a pro, so you can break them like an artist.”","
    Pablo Picasso
  "
39,"“Always remember people who have helped you along the way, and don’t forget to lift someone up.”","
    Roy T. Bennett,
  "
40,"“The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.”","
    Roy T. Bennett,
  "
41,“What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.”,"
    Roy T. Bennett,
  "
42,"“When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.”","
    Steve Maraboli,
  "
43,"“Maturity is when you stop complaining and making excuses, and start making changes.”","
    Roy T. Bennett,
  "
44,"“Never stop dreaming,","
    Roy T. Bennett,
  "
45,“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”,"
    Roy T. Bennett,
  "
46,“Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.”,"
    Roy T. Bennett,
  "
47,"“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”","
    Roy T. Bennett,
  "
48,"“Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.”","
    Roy T. Bennett,
  "
49,"“At the end of the day, let there be no excuses, no explanations, no regrets.”","
    Steve Maraboli,
  "
50,"“We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.”","
    Steve Maraboli,
  "
51,"“If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”","
    Roy T. Bennett,
  "
52,"“Although the world is full of suffering, it is full also of the overcoming of it.”","
    Helen Keller
  "
53,“You must learn to let go. Release the stress. You were never in control anyway.”,"
    Steve Maraboli,
  "
54,"“I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.”","
    Steve Maraboli,
  "
55,“Circumstances are the rulers of the weak; they are but the instruments of the wise.”,"
    Samuel Lover,
  "
56,"“Whatever the mind can conceive and believe, it can achieve.”","
    Napoleon Hill,
  "
57,"“Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.”","
    Steve Maraboli,
  "
58,"“The strongest people find the courage and caring to help others, even if they are going through their own storm.”","
    Roy T. Bennett,
  "
59,"“Action may not always bring happiness, but there is no happiness without action. ”","
    William James
  "
60,“You Are the Master of Your Attitude,"
    Roy T. Bennett,
  "
61,“Patience Is Not the Ability to Wait:,"
    Roy T. Bennett,
  "
62,"“You are unique. You have different talents and abilities. You don’t have to always follow in the footsteps of others. And most important, you should always remind yourself that you don't have to do what everyone else is doing and have a responsibility to develop the talents you have been given.”","
    Roy T. Bennett,
  "
63,"“Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.”","
    Roy T. Bennett,
  "
64,"“You cannot change anyone, but you can be the reason someone changes.”","
    Roy T. Bennett,
  "
65,“The surest way to make your dreams come true is to live them.”,"
    Roy T. Bennett
  "
66,"“Do not stop thinking of life as an adventure. You have no security unless you can live bravely, excitingly, imaginatively; unless you can choose a challenge instead of competence.”","
    Eleanor Roosevelt,
  "
67,"“Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.”","
    Roy T. Bennett,
  "
68,"“To have what you have never had, you have to do what you have never done.”","
    Roy T. Bennett,
  "
69,“Live the Life of Your Dreams,"
    Roy T. Bennett,
  "
70,"“If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.”","
    Steve Maraboli,
  "
71,"“However mean your life is, meet it and live it; do not shun it and call it hard names. It is not so bad as you are. It looks poorest when you are richest. The fault-finder will find faults even in paradise. Love your life, poor as it is. You may perhaps have some pleasant, thrilling, glorious hours, even in a poorhouse.","
    Henry David Thoreau,
  "
72,“Get Off The Scale!,"
    Steve Maraboli,
  "
73,"“People are always blaming their circumstances for what they are. I don't believe in circumstances. The people who get on in this world are the people who get up and look for the circumstances they want, and if they can't find them, make them.”","
    George Bernard Shaw,
  "
74,"“Renew, release, let go. Yesterday’s gone. There’s nothing you can do to bring it back. You can’t “should’ve” done something. You can only DO something. Renew yourself. Release that attachment. Today is a new day!”","
    Steve Maraboli,
  "
75,“You are the average of the five people you spend the most time with.”,"
    Jim Rohn
  "
76,“How would your life be different if…You walked away from gossip and verbal defamation? Let today be the day…You speak only the good you know of other people and encourage others to do the same.”,"
    Steve Maraboli,
  "
77,"“Forget yesterday - it has already forgotten you. Don't sweat tomorrow - you haven't even met. Instead, open your eyes and your heart to a truly precious gift - today.”","
    Steve Maraboli,
  "
78,"“I write for the same reason I breathe - because if I didn't, I would die.”","
    Isaac Asimov
  "
79,"“Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.”","
    Roy T. Bennett,
  "
80,"“You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.”","
    Eleanor Roosevelt
  "
81,“Only he who attempts the absurd is capable of achieving the impossible.”,"
    Miguel de Unamuno
  "
82,"“In the end, you have to choose whether or not to trust someone.”","
    Sophie Kinsella,
  "
83,"“I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!”","
    Steve Maraboli,
  "
84,“Don't wish it were easier. Wish you were better.”,"
    Jim Rohn
  "
85,"“Great leaders create more leaders, not followers.”","
    Roy T. Bennett,
  "
86,“LAW 4,"
    Robert Greene,
  "
87,"“If you don’t give up on something you truly believe in, you will find a way.”","
    Roy T. Bennett
  "
88,"“One of the most spiritual things you can do is embrace your humanity. Connect with those around you today. Say, ""I love you"", ""I'm sorry"", ""I appreciate you"", ""I'm proud of you""...whatever you're feeling. Send random texts, write a cute note, embrace your truth and share it...cause a smile today for someone else...and give plenty of hugs.”","
    Steve Maraboli
  "
89,“Don't confuse poor decision-making with destiny. Own your mistakes. It’s ok; we all make them. Learn from them so they can empower you!”,"
    Steve Maraboli,
  "
90,“Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.”,"
    Roy T. Bennett,
  "
91,“How would your life be different if…You stopped allowing other people to dilute or poison your day with their words or opinions? Let today be the day…You stand strong in the truth of your beauty and journey through your day without attachment to the validation of others”,"
    Steve Maraboli,
  "
92,“Turn your obstacles into opportunities and your problems into possibilities.”,"
    Roy T. Bennett,
  "
93,“Be the positive impact on the lives of others.”,"
    Roy T. Bennett
  "
94,“Why Not You?,"
    Steve Maraboli,
  "
95,“Dreams don't work unless you take action. The surest way to make your dreams come true is to live them.”,"
    Roy T. Bennett
  "
96,"“Never respond to an angry person with a fiery comeback, even if he deserves it...Don't allow his anger to become your anger.”","
    Bohdi Sanders,
  "
97,"“Don't fear failure. — Not failure, but low aim, is the crime. In great attempts it is glorious even to fail.”","
    Bruce Lee,
  "
98,“It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.”,"
    Roy T. Bennett,
  "
99,“I cannot let the fear of the past color the future.”,"
    Julie Kagawa,
  "
100,"“Let today be the day you stop being haunted by the ghost of yesterday. Holding a grudge & harboring anger/resentment is poison to the soul. Get even with people...but not those who have hurt us, forget them, instead get even with those who have helped us.”","
    Steve Maraboli,
  "
101,“It doesn't matter what you did or where you were...it matters where you are and what you're doing. Get out there! Sing the song in your heart and NEVER let anyone shut you up!!”,"
    Steve Maraboli,
  "
102,“It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.”,"
    Roy T. Bennett
  "
103,"“Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.”","
    Roy T. Bennett
  "
104,"“It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.”","
    Roy T. Bennett,
  "
105,"“Time is an equal opportunity employer. Each human being has exactly the same number of hours and minutes every day. Rich people can't buy more hours. Scientists can't invent new minutes. And you can't save time to spend it on another day. Even so, time is amazingly fair and forgiving. No matter how much time you've wasted in the past, you still have an entire tomorrow.”","
    Denis Waitley
  "
106,"“Don't wait for the right moment to start, start and make each moment right.”","
    Roy T. Bennett,
  "
107,“Don’t wait for things to happen. Make them happen.”,"
    Roy T. Bennett
  "
108,"“You learn something valuable from all of the significant events and people, but you never touch your true potential until you challenge yourself to go beyond imposed limitations.”","
    Roy T. Bennett
  "
109,“Rejection is an opportunity for your selection.”,"
    Bernard Branson
  "
110,“What you stay focused on will grow.”,"
    Roy T. Bennett
  "
111,"“Remember to look up at the stars and not down at your feet. Try to make sense of what you see and wonder about what makes the universe exist. Be curious. And however difficult life may seem, there is always something you can do and succeed at.","
    Stephen Hawking
  "
112,“Good people see the good and bring out the best in other people.”,"
    Roy T. Bennett,
  "
113,"“It’s important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life.”","
    Roy T. Bennett,
  "
114,“Be silent and safe — silence never betrays you;,"
    John Boyle O'Reilly,
  "
115,“Gratitude builds a bridge to abundance.”,"
    Roy T. Bennett,
  "
116,"“Challenge and adversity are meant to help you know who you are. Storms hit your weakness, but unlock your true strength.”","
    Roy T. Bennett,
  "
117,“The universe doesn’t give you what you ask for with your thoughts - it gives you what you demand with your actions.”,"
    Steve Maraboli,
  "
118,“Perfectly Imperfect,"
    Steve Maraboli,
  "
119,“Stop doing what is easy. Start doing what is right.”,"
    Roy T. Bennett,
  "
120,"“Changing your outside world cannot make you happy if you are an unhappy person. The real personal change can only happen from the inside out. If you firstly create the change within yourself, you can turn your life around.”","
    Roy T. Bennett,
  "
121,“7 Effective Ways to Make Others Feel Important,"
    Roy T. Bennett,
  "
122,"“My past has not defined me, destroyed me, deterred me, or defeated me; it has only strengthened me.”","
    Steve Maraboli,
  "
123,"“One resolution I have made, and try always to keep, is this: ‘To rise above little things’.”","
    John Burroughs
  "
124,"“Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.”","
    Steve Maraboli,
  "
125,"“When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.”","
    Roy T. Bennett
  "
126,“The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.”,"
    Roy T. Bennett,
  "
127,"“You were put on this earth to achieve your greatest self, to live out your purpose, and to do it courageously.”","
    Steve Maraboli,
  "
128,"“Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.”","
    Roy T. Bennett,
  "
129,“Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.”,"
    Roy T. Bennett
  "
130,"“People who lack the clarity, courage, or determination to follow their own dreams will often find ways to discourage yours. When you change for the better, the people around you will be inspired to change also....but only after doing their best to make you stop. Live your truth and don't EVER stop.”","
    Steve Maraboli,
  "
131,"“You were born to stand out, stop trying to fit in.”","
    Roy T. Bennett,
  "
132,"“It doesn't matter if a million people tell you what you can't do, or if ten million tell you no. If you get one yes from God that's all you need.”","
    Tyler Perry
  "
133,“You are essentially who you create yourself to be and all that occurs in your life is the result of your own making.”,"
    Stephen Richards,
  "
134,"“The reason many people in our society are miserable, sick, and highly stressed is because of an unhealthy attachment to things they have no control over.”","
    Steve Maraboli,
  "
135,“Life is short. Focus on what really matters most. You have to change your priorities over time.”,"
    Roy T. Bennett,
  "
136,“First say to yourself what you would be;,"
    Epictetus 
  "
137,“Surround Yourself with Positive People Who Believe in Your Dreams,"
    Roy T. Bennett,
  "
138,"“Change may not always bring growth, but there is no growth without change.”","
    Roy T. Bennett,
  "
139,“Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.”,"
    Roy T. Bennett,
  "
140,"“When you take control of your attitude, you take control of your life.”","
    Roy T. Bennett,
  "
141,"“Always believe in yourself and always stretch yourself beyond your limits. Your life is worth a lot more than you think because you are capable of accomplishing more than you know. You have more potential than you think, but you will never know your full potential unless you keep challenging yourself and pushing beyond your own self imposed limits.”","
    Roy T. Bennett,
  "
142,“Stop doing what is easy or popular. Start doing what is right.”,"
    Roy T. Bennett,
  "
143,"“To learn something new, you need to try new things and not be afraid to be wrong.”","
    Roy T. Bennett
  "
144,"“Enthusiasm can help you find the new doors, but it takes passion to open them. If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”","
    Roy T. Bennett,
  "
145,“One of the best ways to influence people is to make them feel important.”,"
    Roy T. Bennett
  "
146,"“The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”","
    Roy T. Bennett
  "
147,“Let go of something old that no longer serves you in order to make room for something new.”,"
    Roy T. Bennett,
  "
148,"“It's funny how, in this journey of life, even though we may begin at different times and places, our paths cross with others so that we may share our love, compassion, observations, and hope. This is a design of God that I appreciate and cherish.”","
    Steve Maraboli,
  "
149,"“Fear robs you of your freedom to make the right choice in life that can bridge the gap between where you are and where you want to be. On the other side of fear, lies freedom. If you want to grow, you need to be brave and take risks. If you're not uncomfortable, you're not growing.”","
    Roy T. Bennett,
  "
150,"“Stay strong, stay positive, and never give up.”","
    Roy T. Bennett,
  "
151,"“Want to keep Christ in Christmas? Feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you.”","
    Steve Maraboli,
  "
152,"“This life is for loving, sharing, learning, smiling, caring, forgiving, laughing, hugging, helping, dancing, wondering, healing, and even more loving. I choose to live life this way. I want to live my life in such a way that when I get out of bed in the morning, the devil says, 'aw shit, he's up!”","
    Steve Maraboli,
  "
153,"“You are not a victim. No matter what you have been through, you're still here. You may have been challenged, hurt, betrayed, beaten, and discouraged, but nothing has defeated you. You are still here! You have been delayed but not denied. You are not a victim, you are a victor. You have a history of victory.”","
    Steve Maraboli,
  "
154,“The right thing to do and the hard thing to do are usually the same.”,"
    Steve Maraboli,
  "
155,“Consistency is the true foundation of trust. Either keep your promises or do not make them.”,"
    Roy T. Bennett
  "
156,“LAW 46,"
    Robert Greene,
  "
157,“Shine your light and make a positive impact on the world; there is nothing so honorable as helping improve the lives of others.”,"
    Roy T. Bennett
  "
158,"“Dream your own dreams, achieve your own goals. Your journey is your own and unique.”","
    Roy T. Bennett,
  "
159,"“I cannot compromise my respect for your love. You can keep your love, I will keep my respect.”","
    Amit Kalantri,
  "
160,“Great Leaders Create More Leaders,"
    Roy T. Bennett,
  "
161,“Everything is hard before it is easy”,"
    Goethe J.W.
  "
162,"“How would your life be different if…You stopped worrying about things you can’t control and started focusing on the things you can? Let today be the day…You free yourself from fruitless worry, seize the day and take effective action on things you can change.”","
    Steve Maraboli,
  "
163,“The discontent and frustration that you feel is entirely your own creation.”,"
    Stephen Richards,
  "
164,“Life teaches us the right path is rarely the easy one.”,"
    Roy T. Bennett,
  "
165,“Be with someone who inspires you and makes you be the best version of yourself.”,"
    Roy T. Bennett
  "
166,“No one has ever achieved greatness without dreams.”,"
    Roy T. Bennett,
  "
167,“Failures are the stairs we climb to reach success.”,"
    Roy T. Bennett,
  "
168,“Keep in mind that the true measure of an individual is how he treats a person who can do him absolutely no good.”,"
    Ann Landers
  "
169,"“The harder you fall, the heavier your heart; the heavier your heart, the stronger you climb; the stronger you climb, the higher your pedestal.”","
    Criss Jami,
  "
170,"“Difficulties and adversities viciously force all their might on us and cause us to fall apart, but they are necessary elements of individual growth and reveal our true potential. We have got to endure and overcome them, and move forward. Never lose hope. Storms make people stronger and never last forever.”","
    Roy T. Bennett,
  "
171,“You can have everything you want if you can put your heart and soul into everything you do.”,"
    Roy T. Bennett
  "
172,"“Every choice comes with a consequence. Once you make a choice, you must accept responsibility. You cannot escape the consequences of your choices, whether you like them or not.”","
    Roy T. Bennett,
  "
173,“Free yourself from the complexities and drama of your life. Simplify. Look within. Within ourselves we all have the gifts and talents we need to fulfill the purpose we've been blessed with.”,"
    Steve Maraboli,
  "
174,“Live boldly. Push yourself. Don't settle.”,"
    Jojo Moyes,
  "
175,“How much you can learn when you fail determines how far you will go into achieving your goals.”,"
    Roy T. Bennett,
  "
176,“Create a vision for the life you really want and then work relentlessly towards making it a reality.”,"
    Roy T. Bennett,
  "
177,"“Change course, but don’t give up.”","
    Roy T. Bennett,
  "
178,"“No matter how much experience you have, there’s always something new you can learn and room for improvement.”","
    Roy T. Bennett,
  "
179,“Today is a new day. Don't let your history interfere with your destiny! Let today be the day you stop being a victim of your circumstances and start taking action towards the life you want. You have the power and the time to shape your life. Break free from the poisonous victim mentality and embrace the truth of your greatness. You were not meant for a mundane or mediocre life!”,"
    Steve Maraboli
  "
180,"“Be where you are, stop over-thinking, and focus on what you are doing.”","
    Roy T. Bennett,
  "
181,“LAW 25,"
    Robert Greene,
  "
182,“,"
    Brandon Sanderson,
  "
183,“The greatest step towards a life of simplicity is to learn to let go.”,"
    Steve Maraboli,
  "
184,"“Those with a grateful mindset tend to see the message in the mess. And even though life may knock them down, the grateful find reasons, if even small ones, to get up.”","
    Steve Maraboli,
  "
185,"“After sleeping through a hundred million centuries we have finally opened our eyes on a sumptuous planet, sparkling with color, bountiful with life. Within decades we must close our eyes again. Isn’t it a noble, an enlightened way of spending our brief time in the sun, to work at understanding the universe and how we have come to wake up in it? This is how I answer when I am asked—as I am surprisingly often—why I bother to get up in the mornings.”","
    Richard Dawkins
  "
186,"“If you have a goal, write it down. If you do not write it down, you do not have a goal - you have a wish.”","
    Steve Maraboli,
  "
187,"“If you care about something enough, you'll find a way to make it happen.”","
    Roy T. Bennett
  "
188,“Do not let your negative thoughts have power over you because those thoughts will end up controlling your life. No one can live a positive life with a negative mind.”,"
    Roy T. Bennett,
  "
189,"“There is great change to be experienced once you learn the power of letting go. Stop allowing anyone or anything to control, limit, repress, or discourage you from being your true self! Today is YOURS to shape - own it - break free from people and things that poison or dilute your spirit.”","
    Steve Maraboli,
  "
190,“There is no more profitable investment than investing in yourself. It is the best investment you can make; you can never go wrong with it. It is the true way to improve yourself to be the best version of you and lets you be able to best serve those around you.”,"
    Roy T. Bennett,
  "
191,“To overcome fear is the quickest way to gain your self-confidence.”,"
    Roy T. Bennett,
  "
192,“One must always be prepared for riotous and endless waves of transformation.”,"
    Elizabeth Gilbert,
  "
193,“LAW 38,"
    Robert Greene,
  "
194,"“Your complaints, your drama, your victim mentality, your whining, your blaming, and all of your excuses have NEVER gotten you even a single step closer to your goals or dreams. Let go of your nonsense. Let go of the delusion that you DESERVE better and go EARN it! Today is a new day!”","
    Steve Maraboli,
  "
195,“You are never alone. You are eternally connected with everyone.”,"
    Amit Ray,
  "
196,“Believe in your infinite potential. Your only limitations are those you set upon yourself.,"
    Roy T. Bennett,
  "
197,"“War is an ugly thing, but not the ugliest of things: the decayed and degraded state of moral and patriotic feeling which thinks that nothing is worth a war, is much worse. When a people are used as mere human instruments for firing cannon or thrusting bayonets, in the service and for the selfish purposes of a master, such war degrades a people. A war to protect other human beings against tyrannical injustice; a war to give victory to their own ideas of right and good, and which is their own war, carried on for an honest purpose by their free choice, — is often the means of their regeneration. A man who has nothing which he is willing to fight for, nothing which he cares more about than he does about his personal safety, is a miserable creature who has no chance of being free, unless made and kept so by the exertions of better men than himself. As long as justice and injustice have not terminated their ever-renewing fight for ascendancy in the affairs of mankind, human beings must be willing, when need is, to do battle for the one against the other.”","
    John Stuart Mill,
  "
198,"“Instead of worrying about what could go wrong, change your thoughts to what could go right. When you change the negative thought into a positive one, it eliminates the negative one.”","
    Roy T. Bennett,
  "
199,“What helps you persevere is your resilience and commitment.”,"
    Roy T. Bennett,
  "
200,“You make the world a better place by making daily improvements to become the best version of yourself.”,"
    Roy T. Bennett
  "
201,“There are some values that you should never compromise on to stay true to yourself; you should be brave to stand up for what you truly believe in even if you stand alone.”,"
    Roy T. Bennett,
  "
202,“Be careful the stories you're telling yourself about your current circumstances; a head full of negative thoughts has no space for positive ones.”,"
    Roy T. Bennett,
  "
203,"“Every challenge you face today makes you stronger tomorrow. The challenge of life is intended to make you better, not bitter.”","
    Roy T. Bennett,
  "
204,“...yelling doesn't make a thing any more possible.”,"
    Angie Sage,
  "
205,“It's not what we do once in a while that shapes our lives. It's what we do consistently.”,"
    Anthony Robbins 
  "
206,"“When you concentrate your energy purposely on the future possibility that you aspire to realize, your energy is passed on to it and makes it attracted to you with a force stronger than the one you directed towards it.”","
    Stephen Richards,
  "
207,"“You attract who you are being. When you work at being the type of person that you want to attract, you attract those kinds of people into your life.”","
    Roy T. Bennett,
  "
208,"“A gentleman is someone who does not what he wants to do, but what he should do.”","
    Haruki Murakami,
  "
209,"“You have come a long way and have won many battles. Whenever you’re faced with a difficult or challenging situation, you’ll overcome it. Yes, you can.”","
    Roy T. Bennett,
  "
210,"“You have two choices, to conquer your fear or to let your fear conquer you.”","
    Roy T. Bennett,
  "
211,"“If you've got nothing to dance about, find a reason to sing.”","
    Melody Carstairs
  "
212,"“If you believe you can, you might. If you know you can, you will.”","
    Steve Maraboli ,
  "
213,“Sometimes it's worth lingering on the journey for a while before getting to the destination.”,"
    Richelle Mead,
  "
214,"“It is impossible to discourage the real writers - they don't give a damn what you say, they're going to write.”","
    Sinclair Lewis
  "
215,“Make today worth remembering.”,"
    Zig Ziglar
  "
216,"“What the mind can conceive and believe, and the heart desire, you can achieve.”","
    Norman Vincent Peale
  "
217,“One of the best ways to influence people is to make them feel important. Most people enjoy those rare moments when others make them feel important. It is one of the deepest human desires.”,"
    Roy T. Bennett,
  "
218,"“People who lack the clarity, courage, or determination to follow their own dreams will often find ways to discourage yours. Live your truth and don't EVER stop!”","
    Steve Maraboli,
  "
219,“Make the most of what you have and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.”,"
    Roy T. Bennett,
  "
220,“Act the way you'd like to be and soon you'll be the way you'd like to act.”,"
    Bob Dylan
  "
221,"“Don't chase people. Be yourself, do your own thing and work hard. The right people - the ones who really belong in your life - will come to your. And stay.”","
    Will Smith
  "
222,“Life keeps throwing me lemons because I make the best lemonade...”,"
    King James Gadsden
  "
223,“Your greatest self has been waiting your whole life; don't make it wait any longer.”,"
    Steve Maraboli,
  "
224,"“Real change is difficult at the beginning. Without the familiar to rely upon, you may not in as much command as you had once been. When things are not going your way, you will start doubting yourself. Stay positive, keep the faith, and keep moving forward – your breakthrough may be just around the corner.”","
    Roy T. Bennett
  "
225,“Life is short. Focus on what really matters most; you should change your priorities over time.”,"
    Roy T. Bennett
  "
226,“Keep your promises and be consistent. Be the kind of person others can trust.”,"
    Roy T. Bennett
  "
227,"“If you fuel your journey on the opinions of others, you are going to run out of gas.”","
    Steve Maraboli,
  "
228,"“We have been called to heal wounds, to unite what has fallen apart, and to bring home those who have lost their way.”","
    St. Francis of Assisi
  "
229,“Too many of us are not living our dreams because we are living our fears.”,"
    Les Brown
  "
230,"“The most intriguing people you will encounter in this life are the people who had insights about you, that you didn't know about yourself.”","
    Shannon L. Alder
  "
231,"“Love is as simple as the absence of self given to another. God, when invited, fills the void of any unrequited love; hence loving is how one is drawn closer to God no matter its most horrific repercussions.”","
    Criss Jami,
  "
232,"“Learn everything you can, anytime you can, from anyone you can, there will always come a time when you will be grateful you did.”","
    Sarah Caldwell
  "
233,"“Faith moves mountains, love transforms hearts.”","
    John Paul Warren
  "
234,"“Set the standard! Stop expecting others to show you love, acceptance, commitment, & respect when you don't even show that to yourself.”","
    Steve Maraboli,
  "
235,“Sometimes letting go is simply changing the labels you place on an event. Looking at the same event with fresh eyes.”,"
    Steve Maraboli,
  "
236,“Create your own miracles; do what you think you cannot do.”,"
    Roy T. Bennett
  "
237,“Do what you think is right. Don't let people make the decision of right or wrong for you.”,"
    Steve Maraboli,
  "
